;match_id;team_id;date_id;result;min;pts;fgm;fga;fgp;tpm;tpa;tpp;ftm;fta;ftp;oreb;dreb;reb;ast;tov;stl;blk;pf
447;11182022HOU;HOU;31;L;48;91;29;86;33.7;6;28;21.4;27;32;84.4;14;35;49;15;17;8;4;24
448;11182022NOP;NOP;31;L;48;109;43;87;49.4;13;35;37.1;10;13;76.9;7;30;37;24;13;13;3;18
449;11182022WAS;WAS;31;W;53;107;41;96;42.7;15;46;32.6;10;14;71.4;8;46;54;33;16;6;4;25
450;11182022LAL;LAL;31;W;48;128;43;78;55.1;7;20;35.0;35;40;87.5;7;37;44;29;16;2;7;24
451;11182022DAL;DEN;31;L;48;99;38;90;42.2;10;30;33.3;13;18;72.2;13;23;36;24;13;4;1;20
452;11182022CHI;ORL;31;W;48;108;38;77;49.4;12;28;42.9;20;22;90.9;6;35;41;25;16;4;7;25
453;11182022UTA;UTA;31;W;48;134;51;91;56.0;16;31;51.6;16;24;66.7;11;25;36;32;17;6;3;28
454;11182022NOP;BOS;31;W;48;117;41;85;48.2;20;46;43.5;15;17;88.2;11;35;46;28;17;6;3;13
455;11182022HOU;IND;31;W;48;99;33;82;40.2;12;41;29.3;21;27;77.8;12;33;45;25;15;8;10;26
456;11182022WAS;MIA;31;L;53;106;35;98;35.7;11;43;25.6;25;32;78.1;10;43;53;23;10;6;4;15
457;11182022CHI;CHI;31;L;48;107;41;89;46.1;5;21;23.8;20;25;80.0;13;33;46;27;11;6;6;19
458;11182022UTA;PHX;31;L;48;133;49;94;52.1;9;30;30.0;26;28;92.9;12;30;42;29;14;7;6;25
459;11182022PHI;PHI;31;W;48;110;40;78;51.3;13;28;46.4;17;26;65.4;6;35;41;28;18;5;5;18
460;11182022LAL;DET;31;L;48;121;43;92;46.7;11;34;32.4;24;32;75.0;10;27;37;27;11;9;4;30
461;11182022GSW;NYK;31;L;48;101;30;87;34.5;9;34;26.5;32;34;94.1;13;32;45;16;16;8;7;16
462;11182022MEM;OKC;31;L;48;110;45;96;46.9;11;34;32.4;9;11;81.8;8;35;43;34;11;5;9;28
463;11182022GSW;GSW;31;W;48;111;41;91;45.1;18;50;36.0;11;20;55.0;12;39;51;32;18;8;3;26
464;11182022CLE;CLE;31;W;58;132;49;92;53.3;8;28;28.6;26;32;81.3;7;43;50;25;20;8;8;25
465;11182022MEM;MEM;31;W;48;121;39;93;41.9;14;39;35.9;29;40;72.5;17;40;57;26;11;4;7;13
466;11182022CLE;CHA;31;L;58;122;44;110;40.0;14;44;31.8;20;24;83.3;17;36;53;24;16;11;6;33
467;11182022DAL;DAL;31;W;48;127;46;77;59.7;13;32;40.6;22;28;78.6;6;38;44;29;10;5;3;19
468;11192022POR;UTA;32;W;48;118;42;91;46.2;14;39;35.9;20;23;87.0;11;31;42;23;13;6;4;20
469;11192022LAC;SAS;32;L;48;97;36;87;41.4;7;26;26.9;18;21;85.7;15;28;43;22;15;4;2;13
470;11192022PHI;MIN;32;W;48;112;40;85;47.1;12;36;33.3;20;24;83.3;8;35;43;28;20;9;2;25
471;11192022ATL;ATL;32;W;53;124;46;92;50.0;7;25;28.0;25;32;78.1;11;39;50;23;15;5;5;20
472;11192022LAC;LAC;32;W;48;119;44;81;54.3;21;40;52.5;10;19;52.6;7;28;35;32;13;9;1;20
473;11192022IND;IND;32;W;48;114;41;90;45.6;18;46;39.1;14;19;73.7;12;30;42;27;15;5;6;18
474;11192022POR;POR;32;L;48;113;39;83;47.0;13;42;31.0;22;27;81.5;10;33;43;27;18;11;8;22
475;11192022PHI;PHI;32;L;48;109;34;71;47.9;14;32;43.8;27;32;84.4;4;35;39;21;22;10;1;24
476;11192022IND;ORL;32;L;48;113;39;91;42.9;16;42;38.1;19;26;73.1;11;30;41;16;11;8;6;17
477;11192022ATL;TOR;32;L;53;122;48;108;44.4;8;37;21.6;18;22;81.8;17;34;51;27;14;11;6;25
478;11202022HOU;HOU;33;L;48;120;41;90;45.6;15;45;33.3;23;27;85.2;12;33;45;24;14;13;1;12
