match_id;date_id;away_team;away_pts;home_pts;home_team
11302022OKC;42;SAS;111;119;OKC
11302022DEN;42;HOU;100;120;DEN
11302022NOP;42;TOR;126;108;NOP
11302022MIN;42;MEM;109;101;MIN
11302022LAL;42;POR;128;109;LAL
11302022BKN;42;WAS;113;107;BKN
11302022CLE;42;PHI;85;113;CLE
11302022BOS;42;MIA;134;121;BOS
11302022NYK;42;MIL;103;109;NYK
12012022DET;43;DAL;125;131;DET
12022022UTA;44;IND;139;119;UTA
12022022SAS;44;NOP;99;117;SAS
12022022MIL;44;LAL;129;133;MIL
12022022MEM;44;PHI;109;117;MEM
12022022PHX;44;HOU;122;121;PHX
12022022CLE;44;ORL;96;107;CLE
12022022CHA;44;WAS;117;116;CHA
12022022BOS;44;MIA;120;116;BOS
12022022BKN;44;TOR;114;105;BKN
12022022ATL;44;DEN;117;109;ATL
12022022GSW;44;CHI;111;119;GSW
12032022CHA;45;MIL;96;105;CHA
12032022GSW;45;HOU;120;101;GSW
12032022LAC;45;SAC;96;123;LAC
12032022MIN;45;OKC;128;135;MIN
12032022NYK;45;DAL;121;100;NYK
12032022TOR;45;ORL;108;121;TOR
12032022UTA;45;POR;116;111;UTA
12042022SAS;46;PHX;95;133;SAS
12042022WAS;46;LAL;130;119;WAS
12042022SAC;46;CHI;101;110;SAC
12042022BKN;46;BOS;103;92;BKN
12042022NYK;46;CLE;92;81;NYK
12042022NOP;46;DEN;121;106;NOP
12042022POR;46;IND;100;116;POR
12042022DET;46;MEM;122;112;DET
12052022ORL;47;MIL;109;102;ORL
12052022MEM;47;MIA;93;101;MEM
12052022TOR;47;BOS;116;110;TOR
12052022GSW;47;IND;104;112;GSW
12052022DAL;47;PHX;111;130;DAL
12052022CHA;47;LAC;119;117;CHA
12052022ATL;47;OKC;121;114;ATL
12052022HOU;47;PHI;123;132;HOU
12062022CLE;48;LAL;116;102;CLE
12062022DEN;48;DAL;115;116;DEN
12062022MIA;48;DET;116;96;MIA
12072022PHX;49;BOS;98;125;PHX
12072022UTA;49;GSW;124;123;UTA
12072022TOR;49;LAL;113;126;TOR
12072022ORL;49;LAC;111;116;ORL
12072022MIL;49;SAC;126;113;MIL
12072022NOP;49;DET;98;104;NOP
12072022MIN;49;IND;115;121;MIN
12072022MEM;49;OKC;123;102;MEM
12072022CHI;49;WAS;115;111;CHI
12072022BKN;49;CHA;116;122;BKN
12072022NYK;49;ATL;89;113;NYK
12082022MIA;50;LAC;115;110;MIA
12082022POR;50;DEN;121;120;POR
12082022SAS;50;HOU;109;118;SAS
12092022ORL;51;TOR;109;113;ORL
12092022UTA;51;MIN;108;118;UTA
12092022PHI;51;LAL;122;133;PHI
12092022NOP;51;PHX;117;128;NOP
12092022BKN;51;ATL;116;120;BKN
12092022IND;51;WAS;111;121;IND
12092022DAL;51;MIL;106;105;DAL
12092022CLE;51;SAC;95;106;CLE
12092022CHA;51;NYK;102;121;CHA
12092022MEM;51;DET;103;114;MEM
12102022POR;52;MIN;118;124;POR
12102022MIA;52;SAS;115;111;MIA
12102022WAS;52;LAC;107;114;WAS
12102022GSW;52;BOS;123;107;GSW
12102022DEN;52;UTA;110;115;DEN
12102022CLE;52;OKC;110;102;CLE
12102022CHI;52;DAL;115;144;CHI
12102022IND;52;BKN;133;136;IND
12112022ATL;53;CHI;122;123;ATL
12112022DET;53;LAL;124;117;DET
12112022HOU;53;MIL;92;97;HOU
12112022NOP;53;PHX;124;129;NOP
12112022NYK;53;SAC;99;112;NYK
12112022ORL;53;TOR;99;111;ORL
12112022PHI;53;CHA;113;131;PHI
12122022WAS;54;BKN;112;100;WAS
12122022POR;54;MIN;112;133;POR
12122022SAS;54;CLE;111;112;SAS
12122022LAC;54;BOS;113;93;LAC
12122022IND;54;MIA;87;82;IND
12122022MEM;54;ATL;103;128;MEM
12122022DAL;54;OKC;114;121;DAL
12132022UTA;55;NOP;121;100;UTA
12132022MIL;55;GSW;128;111;MIL
12132022LAL;55;BOS;122;118;LAL
12132022PHI;55;SAC;103;123;PHI
12132022HOU;55;PHX;97;111;HOU
12142022DAL;56;CLE;105;90;DAL
12142022DEN;56;WAS;141;128;DEN
12142022IND;56;GSW;119;125;IND
12142022LAC;56;MIN;99;88;LAC
12142022OKC;56;MIA;110;108;OKC
12142022ORL;56;ATL;135;124;ORL
12142022SAS;56;POR;112;128;SAS
12142022TOR;56;SAC;124;123;TOR
12142022CHA;56;DET;134;141;CHA
12142022CHI;56;NYK;120;128;CHI
12152022UTA;57;NOP;132;129;UTA
12152022LAC;57;PHX;95;111;LAC
12152022HOU;57;MIA;108;111;HOU
12152022MEM;57;MIL;101;142;MEM
12162022CHA;58;ATL;106;125;CHA
12162022CHI;58;NYK;114;91;CHI
12162022CLE;58;IND;112;118;CLE
12162022DAL;58;POR;110;130;DAL
12162022DET;58;SAC;122;113;DET
12162022LAL;58;DEN;126;108;LAL
12162022OKC;58;MIN;110;112;OKC
12162022PHI;58;GSW;118;106;PHI
12162022TOR;58;BKN;119;116;TOR
12162022BOS;58;ORL;109;117;BOS
12172022PHX;59;NOP;118;114;PHX
12172022SAS;59;MIA;101;111;SAS
12172022MIL;59;UTA;97;123;MIL
12172022LAC;59;WAS;93;102;LAC
12172022HOU;59;POR;95;107;HOU
12172022CLE;59;DAL;99;100;CLE
12172022OKC;59;MEM;109;115;OKC
12182022BOS;60;ORL;92;95;BOS
12182022DEN;60;CHA;115;119;DEN
12182022DET;60;BKN;121;124;DET
12182022IND;60;NYK;106;109;IND
12182022LAL;60;WAS;117;119;LAL
12182022MIN;60;CHI;150;126;MIN
12182022TOR;60;GSW;126;110;TOR
12192022SAC;61;CHA;119;125;SAC
12192022PHX;61;LAL;130;104;PHX
12192022PHI;61;TOR;101;104;PHI
